game_code,game,rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
4DL,4D Lotto,3,Smoothed frequency,4194,"['4', '1', '9', '4']",2,2,3,1,18,3,83.95,0,1449,12,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,4,Smoothed frequency,6525,"['6', '5', '2', '5']",2,2,1,3,18,3,82.29,0,2556,12,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,5,Historical profile,9144,"['9', '1', '4', '4']",2,2,3,1,18,3,86.87,0,1449,12,10000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,1,Uniform baseline,897958,"['8', '9', '7', '9', '5', '8']",2,4,0,6,46,4,36.17,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,2,Uniform baseline,226566,"['2', '2', '6', '5', '6', '6']",5,1,2,4,27,3,56.35,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,3,Smoothed frequency,016797,"['0', '1', '6', '7', '9', '7']",2,4,2,4,30,5,92.89,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,4,Smoothed frequency,556184,"['5', '5', '6', '1', '8', '4']",3,3,2,4,29,5,89.79,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,5,Historical profile,057764,"['0', '5', '7', '7', '6', '4']",3,3,2,4,29,5,91.74,0,,,1000000,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,1,Uniform baseline,02-08-21-22-28-39,"['02', '08', '21', '22', '28', '39']",4,2,3,3,120,6,71.4,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,2,Uniform baseline,01-12-16-23-39-41,"['01', '12', '16', '23', '39', '41']",2,4,3,3,132,6,77.81,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,3,Smoothed frequency,01-17-18-23-39-41,"['01', '17', '18', '23', '39', '41']",1,5,3,3,139,6,88.61,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,4,Smoothed frequency,03-07-21-26-39-41,"['03', '07', '21', '26', '39', '41']",1,5,3,3,137,6,87.29,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,5,Historical profile,01-08-15-23-39-41,"['01', '08', '15', '23', '39', '41']",1,5,3,3,127,6,90.13,0,,,5245786,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,1,Uniform baseline,01-05-13-14-35-40,"['01', '05', '13', '14', '35', '40']",2,4,4,2,108,6,57.18,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,2,Uniform baseline,11-19-20-24-25-37,"['11', '19', '20', '24', '25', '37']",2,4,3,3,136,6,68.96,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,3,Smoothed frequency,02-08-13-37-38-42,"['02', '08', '13', '37', '38', '42']",4,2,3,3,140,6,88.28,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,4,Smoothed frequency,06-09-14-29-31-34,"['06', '09', '14', '29', '31', '34']",3,3,3,3,123,6,87.77,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,5,Historical profile,05-14-22-28-34-37,"['05', '14', '22', '28', '34', '37']",4,2,3,3,140,6,89.45,0,,,8145060,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,1,Uniform baseline,02-11-17-21-37-44,"['02', '11', '17', '21', '37', '44']",2,4,4,2,132,6,67.06,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,2,Uniform baseline,03-07-18-19-36-41,"['03', '07', '18', '19', '36', '41']",2,4,4,2,124,6,59.46,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,3,Smoothed frequency,11-13-14-37-40-44,"['11', '13', '14', '37', '40', '44']",3,3,3,3,159,6,90.34,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,4,Smoothed frequency,01-15-17-36-37-47,"['01', '15', '17', '36', '37', '47']",1,5,3,3,153,6,89.71,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,5,Historical profile,01-05-11-21-44-47,"['01', '05', '11', '21', '44', '47']",1,5,4,2,129,6,89.95,0,,,13983816,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,1,Uniform baseline,06-19-31-37-46-53,"['06', '19', '31', '37', '46', '53']",2,4,2,4,192,6,56.16,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,2,Uniform baseline,11-23-33-39-46-49,"['11', '23', '33', '39', '46', '49']",1,5,2,4,201,6,57.54,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,3,Smoothed frequency,03-34-35-38-41-44,"['03', '34', '35', '38', '41', '44']",3,3,1,5,195,6,82.94,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,4,Smoothed frequency,05-06-17-42-43-46,"['05', '06', '17', '42', '43', '46']",3,3,3,3,159,6,80.35,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,5,Historical profile,05-22-23-35-42-44,"['05', '22', '23', '35', '42', '44']",3,3,3,3,171,6,80.05,0,,,28989675,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,1,Uniform baseline,12-20-21-29-43-47,"['12', '20', '21', '29', '43', '47']",2,4,4,2,172,6,61.31,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,2,Uniform baseline,04-21-30-45-48-56,"['04', '21', '30', '45', '48', '56']",4,2,2,4,204,6,68.31,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,3,Smoothed frequency,07-09-12-30-49-55,"['07', '09', '12', '30', '49', '55']",2,4,3,3,162,6,88.48,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,4,Smoothed frequency,07-09-18-35-38-53,"['07', '09', '18', '35', '38', '53']",2,4,3,3,160,6,88.08,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,5,Historical profile,07-14-28-35-48-52,"['07', '14', '28', '35', '48', '52']",4,2,3,3,184,6,89.81,0,,,40475358,"Historical fit is descriptive, not a win probability."
