game_code,game,rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
3DL,3D Lotto,7,Smoothed frequency,726,"['7', '2', '6']",2,1,1,2,15,3,91.4,0,267,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,8,Historical profile,526,"['5', '2', '6']",2,1,1,2,13,3,92.1,0,256,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,9,Historical profile,546,"['5', '4', '6']",2,1,1,2,15,3,91.4,0,456,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,10,Historical profile,506,"['5', '0', '6']",2,1,1,2,11,3,89.74,0,056,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,1,Uniform baseline,2016,"['2', '0', '1', '6']",3,1,3,1,9,4,30.86,0,0126,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,2,Uniform baseline,0036,"['0', '0', '3', '6']",3,1,3,1,9,3,31.28,0,0036,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,3,Uniform baseline,1345,"['1', '3', '4', '5']",1,3,3,1,13,4,54.01,0,1345,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,4,Uniform baseline,4114,"['4', '1', '1', '4']",2,2,4,0,10,2,49.45,0,1144,6,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,5,Smoothed frequency,4194,"['4', '1', '9', '4']",2,2,3,1,18,3,83.95,0,1449,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,6,Smoothed frequency,9607,"['9', '6', '0', '7']",2,2,1,3,22,4,82.19,0,0679,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,7,Smoothed frequency,1667,"['1', '6', '6', '7']",2,2,1,3,20,3,82.1,0,1667,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,8,Historical profile,6156,"['6', '1', '5', '6']",2,2,1,3,18,3,85.2,0,1566,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,9,Historical profile,6705,"['6', '7', '0', '5']",2,2,1,3,18,4,84.79,0,0567,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,10,Historical profile,6505,"['6', '5', '0', '5']",2,2,1,3,16,3,83.12,0,0556,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,1,Uniform baseline,407126,"['4', '0', '7', '1', '2', '6']",4,2,4,2,20,6,43.66,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,2,Uniform baseline,008258,"['0', '0', '8', '2', '5', '8']",5,1,3,3,23,4,47.78,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,3,Uniform baseline,445496,"['4', '4', '5', '4', '9', '6']",4,2,3,3,32,4,55.66,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,4,Uniform baseline,153273,"['1', '5', '3', '2', '7', '3']",1,5,4,2,21,5,40.66,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,5,Smoothed frequency,057459,"['0', '5', '7', '4', '5', '9']",2,4,2,4,30,5,89.0,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,6,Smoothed frequency,906551,"['9', '0', '6', '5', '5', '1']",2,4,2,4,26,5,87.92,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,7,Smoothed frequency,025778,"['0', '2', '5', '7', '7', '8']",3,3,2,4,29,5,87.85,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,8,Historical profile,055729,"['0', '5', '5', '7', '2', '9']",2,4,2,4,28,5,92.16,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,9,Historical profile,956150,"['9', '5', '6', '1', '5', '0']",2,4,2,4,26,5,89.86,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,10,Historical profile,652763,"['6', '5', '2', '7', '6', '3']",3,3,2,4,29,5,89.79,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,1,Uniform baseline,05-25-27-28-35-36,"['05', '25', '27', '28', '35', '36']",2,4,1,5,156,6,50.09,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,2,Uniform baseline,05-10-16-17-34-35,"['05', '10', '16', '17', '34', '35']",3,3,4,2,117,6,62.34,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,3,Uniform baseline,09-21-24-31-33-37,"['09', '21', '24', '31', '33', '37']",1,5,2,4,155,6,70.42,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,4,Uniform baseline,09-25-28-32-33-36,"['09', '25', '28', '32', '33', '36']",3,3,1,5,163,6,43.66,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,5,Smoothed frequency,13-15-19-25-28-39,"['13', '15', '19', '25', '28', '39']",1,5,3,3,139,6,89.34,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,6,Smoothed frequency,01-19-23-27-30-35,"['01', '19', '23', '27', '30', '35']",1,5,2,4,135,6,86.84,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,7,Smoothed frequency,01-13-26-27-31-41,"['01', '13', '26', '27', '31', '41']",1,5,2,4,139,6,84.48,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,8,Historical profile,01-15-19-23-24-41,"['01', '15', '19', '23', '24', '41']",1,5,3,3,123,6,90.56,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,9,Historical profile,01-17-25-26-27-29,"['01', '17', '25', '26', '27', '29']",1,5,2,4,125,6,86.75,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,10,Historical profile,14-15-23-25-27-39,"['14', '15', '23', '25', '27', '39']",1,5,2,4,143,6,86.62,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,1,Uniform baseline,07-09-14-19-26-35,"['07', '09', '14', '19', '26', '35']",2,4,4,2,110,6,56.23,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,2,Uniform baseline,07-11-12-14-20-44,"['07', '11', '12', '14', '20', '44']",4,2,5,1,108,6,59.68,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,3,Uniform baseline,08-12-18-21-25-43,"['08', '12', '18', '21', '25', '43']",3,3,4,2,127,6,74.32,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,4,Uniform baseline,08-09-22-29-31-41,"['08', '09', '22', '29', '31', '41']",2,4,3,3,140,6,78.86,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,5,Smoothed frequency,04-08-13-29-34-39,"['04', '08', '13', '29', '34', '39']",3,3,3,3,127,6,89.4,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,6,Smoothed frequency,05-08-11-26-31-34,"['05', '08', '11', '26', '31', '34']",3,3,3,3,115,6,88.54,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,7,Smoothed frequency,07-12-16-29-34-39,"['07', '12', '16', '29', '34', '39']",3,3,3,3,137,6,88.33,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,8,Historical profile,07-08-12-29-31-42,"['07', '08', '12', '29', '31', '42']",3,3,3,3,129,6,91.56,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,9,Historical profile,05-10-12-29-34-39,"['05', '10', '12', '29', '34', '39']",3,3,3,3,129,6,89.23,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,10,Historical profile,02-08-17-29-34-44,"['02', '08', '17', '29', '34', '44']",4,2,3,3,134,6,88.75,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,1,Uniform baseline,01-05-12-13-18-30,"['01', '05', '12', '13', '18', '30']",3,3,5,1,79,6,56.19,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,2,Uniform baseline,02-06-10-18-23-35,"['02', '06', '10', '18', '23', '35']",4,2,5,1,94,6,34.12,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,3,Uniform baseline,18-19-25-29-38-39,"['18', '19', '25', '29', '38', '39']",2,4,3,3,168,6,55.03,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,4,Uniform baseline,08-21-34-35-37-41,"['08', '21', '34', '35', '37', '41']",2,4,2,4,176,6,40.79,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,5,Smoothed frequency,01-09-11-34-36-44,"['01', '09', '11', '34', '36', '44']",3,3,3,3,135,6,87.65,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,6,Smoothed frequency,01-13-16-30-37-38,"['01', '13', '16', '30', '37', '38']",3,3,3,3,135,6,87.65,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,7,Smoothed frequency,01-05-10-25-42-44,"['01', '05', '10', '25', '42', '44']",3,3,4,2,127,6,87.6,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,8,Historical profile,07-13-14-16-44-47,"['07', '13', '14', '16', '44', '47']",3,3,4,2,141,6,90.2,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,9,Historical profile,07-13-15-25-39-44,"['07', '13', '15', '25', '39', '44']",1,5,4,2,143,6,88.49,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,10,Historical profile,13-14-17-22-37-44,"['13', '14', '17', '22', '37', '44']",3,3,4,2,147,6,88.47,0,,,13983816,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,1,Uniform baseline,04-06-27-38-45-47,"['04', '06', '27', '38', '45', '47']",3,3,3,3,167,6,74.07,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,2,Uniform baseline,05-29-33-48-54-55,"['05', '29', '33', '48', '54', '55']",2,4,1,5,224,6,53.97,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,3,Uniform baseline,04-19-23-26-29-32,"['04', '19', '23', '26', '29', '32']",3,3,4,2,133,6,65.14,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,4,Uniform baseline,11-28-36-40-41-45,"['11', '28', '36', '40', '41', '45']",3,3,2,4,201,6,69.99,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,5,Smoothed frequency,02-31-36-41-44-49,"['02', '31', '36', '41', '44', '49']",3,3,1,5,203,6,82.54,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,6,Smoothed frequency,09-14-17-28-40-53,"['09', '14', '17', '28', '40', '53']",3,3,4,2,161,6,80.74,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,7,Smoothed frequency,02-17-34-35-41-46,"['02', '17', '34', '35', '41', '46']",3,3,2,4,175,6,80.15,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,8,Historical profile,05-23-34-42-44-45,"['05', '23', '34', '42', '44', '45']",3,3,2,4,193,6,79.7,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,9,Historical profile,13-34-37-41-42-46,"['13', '34', '37', '41', '42', '46']",3,3,1,5,213,6,79.32,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,10,Historical profile,05-23-29-34-44-54,"['05', '23', '29', '34', '44', '54']",3,3,2,4,189,6,78.68,0,,,28989675,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,1,Uniform baseline,03-07-12-20-40-48,"['03', '07', '12', '20', '40', '48']",4,2,4,2,130,6,56.84,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,2,Uniform baseline,04-21-30-45-48-56,"['04', '21', '30', '45', '48', '56']",4,2,2,4,204,6,68.31,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,3,Uniform baseline,04-06-10-19-27-41,"['04', '06', '10', '19', '27', '41']",3,3,5,1,107,6,37.35,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,4,Uniform baseline,03-12-22-40-53-57,"['03', '12', '22', '40', '53', '57']",3,3,3,3,187,6,66.0,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,5,Smoothed frequency,07-16-26-30-36-55,"['07', '16', '26', '30', '36', '55']",4,2,3,3,170,6,89.66,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,6,Smoothed frequency,09-11-14-33-34-55,"['09', '11', '14', '33', '34', '55']",2,4,3,3,156,6,89.02,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,7,Smoothed frequency,07-19-23-38-50-55,"['07', '19', '23', '38', '50', '55']",2,4,3,3,192,6,88.8,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,8,Historical profile,07-14-23-34-48-54,"['07', '14', '23', '34', '48', '54']",4,2,3,3,180,6,90.03,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,9,Historical profile,11-14-24-34-41-50,"['11', '14', '24', '34', '41', '50']",4,2,3,3,174,6,89.89,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,10,Historical profile,11-24-28-33-35-41,"['11', '24', '28', '33', '35', '41']",2,4,3,3,172,6,89.77,0,,,40475358,Standard game,"Historical fit is descriptive, not a win probability."
