game_code,game,rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
4DL,4D Lotto,5,Smoothed frequency,5418,"['5', '4', '1', '8']",2,2,2,2,18,4,84.34,0,1458,24,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,6,Smoothed frequency,9027,"['9', '0', '2', '7']",2,2,2,2,18,4,84.23,0,0279,24,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,7,Smoothed frequency,2781,"['2', '7', '8', '1']",2,2,2,2,18,4,83.8,0,1278,24,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,8,Historical profile,7407,"['7', '4', '0', '7']",2,2,2,2,18,3,84.73,0,0477,12,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,9,Historical profile,6138,"['6', '1', '3', '8']",2,2,2,2,18,4,84.55,0,1368,24,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,10,Historical profile,2178,"['2', '1', '7', '8']",2,2,2,2,18,4,84.44,0,1278,24,10000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,1,Uniform baseline,828627,"['8', '2', '8', '6', '2', '7']",5,1,2,4,33,4,53.6,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,2,Uniform baseline,776119,"['7', '7', '6', '1', '1', '9']",1,5,2,4,31,4,55.69,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,3,Uniform baseline,300613,"['3', '0', '0', '6', '1', '3']",3,3,5,1,13,4,52.7,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,4,Uniform baseline,373636,"['3', '7', '3', '6', '3', '6']",2,4,3,3,28,3,67.89,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,5,Smoothed frequency,926127,"['9', '2', '6', '1', '2', '7']",3,3,3,3,27,5,83.2,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,6,Smoothed frequency,168491,"['1', '6', '8', '4', '9', '1']",3,3,3,3,29,5,82.88,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,7,Smoothed frequency,540727,"['5', '4', '0', '7', '2', '7']",3,3,3,3,25,5,82.85,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,8,Historical profile,741654,"['7', '4', '1', '6', '5', '4']",3,3,3,3,27,5,83.06,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,9,Historical profile,136762,"['1', '3', '6', '7', '6', '2']",3,3,3,3,25,5,83.0,0,,,1000000,"Historical fit is descriptive, not a win probability."
6DL,6D Lotto,10,Historical profile,226159,"['2', '2', '6', '1', '5', '9']",3,3,3,3,25,5,82.35,0,,,1000000,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,1,Uniform baseline,08-10-11-13-30-40,"['08', '10', '11', '13', '30', '40']",4,2,4,2,112,6,67.3,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,2,Uniform baseline,03-10-12-17-18-29,"['03', '10', '12', '17', '18', '29']",3,3,5,1,89,6,59.92,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,3,Uniform baseline,06-13-20-24-30-42,"['06', '13', '20', '24', '30', '42']",5,1,3,3,135,6,67.28,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,4,Uniform baseline,09-11-20-24-31-42,"['09', '11', '20', '24', '31', '42']",3,3,3,3,137,6,82.47,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,5,Smoothed frequency,03-12-14-25-36-37,"['03', '12', '14', '25', '36', '37']",3,3,3,3,127,6,83.67,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,6,Smoothed frequency,07-09-12-28-35-40,"['07', '09', '12', '28', '35', '40']",3,3,3,3,131,6,83.44,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,7,Smoothed frequency,03-09-20-27-28-40,"['03', '09', '20', '27', '28', '40']",3,3,3,3,127,6,82.96,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,8,Historical profile,05-10-12-28-37-41,"['05', '10', '12', '28', '37', '41']",3,3,3,3,133,6,83.87,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,9,Historical profile,10-12-14-31-33-41,"['10', '12', '14', '31', '33', '41']",3,3,3,3,141,6,83.66,0,,,5245786,"Historical fit is descriptive, not a win probability."
LOTTO42,Lotto 6/42,10,Historical profile,05-06-08-35-40-41,"['05', '06', '08', '35', '40', '41']",3,3,3,3,135,6,83.49,0,,,5245786,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,1,Uniform baseline,03-19-20-25-30-44,"['03', '19', '20', '25', '30', '44']",3,3,3,3,141,6,82.21,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,2,Uniform baseline,03-04-05-12-37-38,"['03', '04', '05', '12', '37', '38']",3,3,4,2,99,6,70.2,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,3,Uniform baseline,08-12-27-37-39-44,"['08', '12', '27', '37', '39', '44']",3,3,2,4,167,6,71.22,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,4,Uniform baseline,10-22-29-31-44-45,"['10', '22', '29', '31', '44', '45']",3,3,2,4,181,6,65.77,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,5,Smoothed frequency,03-04-16-31-42-43,"['03', '04', '16', '31', '42', '43']",3,3,3,3,139,6,84.27,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,6,Smoothed frequency,04-05-18-30-33-45,"['04', '05', '18', '30', '33', '45']",3,3,3,3,135,6,84.04,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,7,Smoothed frequency,06-08-17-28-31-45,"['06', '08', '17', '28', '31', '45']",3,3,3,3,135,6,83.98,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,8,Historical profile,01-04-15-32-42-43,"['01', '04', '15', '32', '42', '43']",3,3,3,3,137,6,83.92,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,9,Historical profile,03-17-18-31-34-42,"['03', '17', '18', '31', '34', '42']",3,3,3,3,145,6,83.82,0,,,8145060,"Historical fit is descriptive, not a win probability."
ML45,Mega Lotto 6/45,10,Historical profile,02-04-11-33-36-45,"['02', '04', '11', '33', '36', '45']",3,3,3,3,131,6,83.71,0,,,8145060,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,1,Uniform baseline,02-12-16-18-37-44,"['02', '12', '16', '18', '37', '44']",5,1,4,2,129,6,60.53,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,2,Uniform baseline,10-22-36-37-47-48,"['10', '22', '36', '37', '47', '48']",4,2,2,4,200,6,58.97,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,3,Uniform baseline,14-25-29-30-35-48,"['14', '25', '29', '30', '35', '48']",3,3,2,4,181,6,71.26,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,4,Uniform baseline,05-15-37-44-45-46,"['05', '15', '37', '44', '45', '46']",2,4,2,4,192,6,63.63,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,5,Smoothed frequency,03-08-21-28-41-44,"['03', '08', '21', '28', '41', '44']",3,3,3,3,145,6,84.81,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,6,Smoothed frequency,01-14-16-35-37-44,"['01', '14', '16', '35', '37', '44']",3,3,3,3,147,6,83.6,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,7,Smoothed frequency,06-07-16-28-43-47,"['06', '07', '16', '28', '43', '47']",3,3,3,3,147,6,83.25,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,8,Historical profile,03-16-21-28-37-44,"['03', '16', '21', '28', '37', '44']",3,3,3,3,149,6,84.68,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,9,Historical profile,06-13-16-39-41-44,"['06', '13', '16', '39', '41', '44']",3,3,3,3,159,6,84.5,0,,,13983816,"Historical fit is descriptive, not a win probability."
SL49,Super Lotto 6/49,10,Historical profile,03-12-19-34-42-43,"['03', '12', '19', '34', '42', '43']",3,3,3,3,153,6,83.25,0,,,13983816,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,1,Uniform baseline,08-13-14-34-38-55,"['08', '13', '14', '34', '38', '55']",4,2,3,3,162,6,75.02,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,2,Uniform baseline,07-11-14-26-37-50,"['07', '11', '14', '26', '37', '50']",3,3,4,2,145,6,71.5,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,3,Uniform baseline,08-23-28-45-49-55,"['08', '23', '28', '45', '49', '55']",2,4,3,3,208,6,74.06,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,4,Uniform baseline,15-17-34-38-40-43,"['15', '17', '34', '38', '40', '43']",3,3,2,4,187,6,75.55,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,5,Smoothed frequency,14-21-26-35-42-45,"['14', '21', '26', '35', '42', '45']",3,3,3,3,183,6,84.62,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,6,Smoothed frequency,04-24-25-31-45-48,"['04', '24', '25', '31', '45', '48']",3,3,3,3,177,6,84.54,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,7,Smoothed frequency,02-19-20-32-45-55,"['02', '19', '20', '32', '45', '55']",3,3,3,3,173,6,84.3,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,8,Historical profile,07-10-17-41-42-50,"['07', '10', '17', '41', '42', '50']",3,3,3,3,167,6,84.71,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,9,Historical profile,03-20-23-40-41-44,"['03', '20', '23', '40', '41', '44']",3,3,3,3,171,6,84.43,0,,,28989675,"Historical fit is descriptive, not a win probability."
GL55,Grand Lotto 6/55,10,Historical profile,02-21-24-31-38-45,"['02', '21', '24', '31', '38', '45']",3,3,3,3,161,6,84.31,0,,,28989675,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,1,Uniform baseline,04-21-23-31-37-58,"['04', '21', '23', '31', '37', '58']",2,4,3,3,174,6,75.82,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,2,Uniform baseline,05-12-18-21-34-44,"['05', '12', '18', '21', '34', '44']",4,2,4,2,134,6,61.46,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,3,Uniform baseline,21-34-39-43-50-54,"['21', '34', '39', '43', '50', '54']",3,3,1,5,241,6,56.93,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,4,Uniform baseline,12-13-29-33-56-57,"['12', '13', '29', '33', '56', '57']",2,4,3,3,200,6,74.73,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,5,Smoothed frequency,02-19-25-32-45-58,"['02', '19', '25', '32', '45', '58']",3,3,3,3,181,6,84.01,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,6,Smoothed frequency,02-17-25-36-45-56,"['02', '17', '25', '36', '45', '56']",3,3,3,3,181,6,83.87,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,7,Smoothed frequency,02-20-23-30-43-57,"['02', '20', '23', '30', '43', '57']",3,3,3,3,175,6,83.67,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,8,Historical profile,02-17-22-37-50-51,"['02', '17', '22', '37', '50', '51']",3,3,3,3,179,6,84.36,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,9,Historical profile,05-19-22-40-47-48,"['05', '19', '22', '40', '47', '48']",3,3,3,3,181,6,84.08,0,,,40475358,"Historical fit is descriptive, not a win probability."
UL58,Ultra Lotto 6/58,10,Historical profile,13-18-20-40-41-51,"['13', '18', '20', '40', '41', '51']",3,3,3,3,183,6,83.53,0,,,40475358,"Historical fit is descriptive, not a win probability."
